,Position,Track Name,Artist,Streams,URL,Year,Month
78,79,Way To Break My Heart (feat. Skrillex),Ed Sheeran,61957,https://open.spotify.com/track/5d1rmWWF1725tnYjq6rMDB,2019,07
79,80,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,61636,https://open.spotify.com/track/7hvO2qCwJVZxiyoA7c9i5d,2019,07
80,81,Bohemian Rhapsody - Remastered 2011,Queen,61454,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019,07
81,82,Painkiller,Ruel,60541,https://open.spotify.com/track/1abFkY2jm6KDFMZ7RD9YJh,2019,07
82,83,Body (feat. brando),Loud Luxury,60020,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,07
83,84,Can You Feel the Love Tonight,Beyoncé,59985,https://open.spotify.com/track/1zSKtBze2IReYU44W0lDzd,2019,07
84,85,Find U Again (feat. Camila Cabello),Mark Ronson,59226,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf,2019,07
85,86,Africa,TOTO,58967,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019,07
86,87,The Archer,Taylor Swift,58897,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k,2019,07
87,88,Better Now,Post Malone,58245,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,07
88,89,rockstar (feat. 21 Savage),Post Malone,58245,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,07
89,90,Homicide (feat. Eminem),Logic,58205,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg,2019,07
90,91,Good As Hell,Lizzo,58172,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF,2019,07
91,92,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,57628,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019,07
92,93,I Fall Apart,Post Malone,57579,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,07
93,94,i'm so tired...,Lauv,57563,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,07
94,95,Rodeo,Lil Nas X,57024,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n,2019,07
95,96,SICKO MODE,Travis Scott,57009,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,07
96,97,Tiny Dancer,Elton John,56611,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO,2019,07
97,98,Say You Won't Let Go,James Arthur,56396,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019,07
98,99,2002,Anne-Marie,56225,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,07
99,100,Shape of You,Ed Sheeran,55952,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,07
100,101,Post Malone (feat. RANI),Sam Feldt,55938,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU,2019,07
101,102,Time - Edit,NF,55791,https://open.spotify.com/track/68Vm2W4oURsPV3121vUZgB,2019,07
102,103,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,55789,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw,2019,07
103,104,"thank u, next",Ariana Grande,55480,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019,07
104,105,Easy,DaniLeigh,55220,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3,2019,07
105,106,Sweet but Psycho,Ava Max,55014,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,07
106,107,I Like Me Better,Lauv,54630,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,07
107,108,Dance Monkey,Tones And I,54578,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,07
108,109,I Don't Want Your Money (feat. H.E.R.),Ed Sheeran,54501,https://open.spotify.com/track/3FHXUqaUer9o231Je1zxIN,2019,07
109,110,Always Remember Us This Way,Lady Gaga,54190,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019,07
110,111,I.F.L.Y.,Bazzi,53961,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0,2019,07
111,112,Taste (feat. Offset),Tyga,53613,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt,2019,07
112,113,Mr. Brightside,The Killers,52872,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,07
113,114,Evil Spider,BENEE,52810,https://open.spotify.com/track/3NqoZnyv3qLAM0y3CjB8l2,2019,07
114,115,Feels (feat. Young Thug & J Hus),Ed Sheeran,52659,https://open.spotify.com/track/1Bdptrvb7nQkq8kCw3siE9,2019,07
115,116,Pure Water (with Migos),Mustard,52556,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,2019,07
116,117,"SPIRIT - From Disney's ""The Lion King""",Beyoncé,52544,https://open.spotify.com/track/6ucmgsair6pvRYfwgvI6e0,2019,07
117,118,Don't Stop Believin',Journey,52181,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,2019,07
118,119,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,52054,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,2019,07
119,120,Glitter,BENEE,51775,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY,2019,07
120,121,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,51747,https://open.spotify.com/track/4vIKzWqtn44umal5jXq4wE,2019,07
121,122,Go Your Own Way - 2004 Remaster,Fleetwood Mac,51741,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,2019,07
122,123,Pop Out (feat. Lil Tjay),Polo G,51721,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,2019,07
123,124,On A Roll,Ashley O,51707,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m,2019,07
124,125,Lost In Japan,Shawn Mendes,50319,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019,07
125,126,ocean eyes,Billie Eilish,50139,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,07
