Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
81,Mejor Que Tú,Aitana,383067,https://open.spotify.com/track/7Kn8yBD9hk8zJtgMQQrTKV,2019,01,2019-01,0.003729121799492194,497YzH5kEsox8IJzN6wOTY
82,A Partir De Hoy,David Bisbal,381737,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8,2019,01,2019-01,0.003716174372558199,4DJSB7nKdDqL77kon9Ra1O
83,Besos En Guerra,Morat,379177,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,2019,01,2019-01,0.0036912530094371262,5RPYHXSqcWaaiCbUbyfNAO
84,Mala Mía - Remix,Maluma,378019,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb,2019,01,2019-01,0.0036799799865878287,6sAwJPgaSQ9Q4XGnbx1gZb
85,Vuelve,Sebastian Yatra,377042,https://open.spotify.com/track/6WSAPEkvEfcEUgSTAo1D3S,2019,01,2019-01,0.0036704689819904504,0gCPvo1GkbtPhMqg5Gbx1K
86,Happier,Marshmello,375711,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,01,2019-01,0.0036575118201489865,2dpaYNEQHiRxtZbfNsse99
87,Lo Malo - Operación Triunfo 2017,Aitana,373199,https://open.spotify.com/track/7aJP1XcWcSU9w0eqSvaeZR,2019,01,2019-01,0.0036330577325864337,7aJP1XcWcSU9w0eqSvaeZR
88,Amigos Con Derechos,Reik,372441,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019,01,2019-01,0.0036256786727248036,4yVO0wOhXsZC1RuPgHP524
89,Dile la Verdad,The Rudeboyz,369613,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE,2019,01,2019-01,0.0035981483544019932,6qP73DRFGojLuIk1siIhNE
90,Pitbull,Kidd Keo,368156,https://open.spotify.com/track/62Z8PVyA9wYn5zkurChQHQ,2019,01,2019-01,0.003583964594219414,2bJvI42r8EF3wxjOuDav4r
