,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh",98831,https://open.spotify.com/track/5sul5AkWmzi2fE70oS7mK9
165,"Jeena Jeena (From ""Badlapur"")","Atif Aslam",97678,https://open.spotify.com/track/5ZhKD46Q7mhsl0awl7ZMJc
166,"Sau Aasmaan","Armaan Malik",97495,https://open.spotify.com/track/0zHZSO80CTxNtvtRhveHRJ
167,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",97444,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
168,"Ae Dil Hai Mushkil Title Track",Pritam,97167,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
169,"Kyun Dil Mera - From ""Paharganj""","Mohit Chauhan",97102,https://open.spotify.com/track/2GlZQur8CHidODl6OgMO3z
170,Iktara,"Amit Trivedi",97049,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig
171,"Never Really Over","Katy Perry",96691,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
172,"Nikle Currant","Jassie Gill",96524,https://open.spotify.com/track/5T3rp70MEW4XnWv82BDVey
173,"I Don’t Wanna Live Forever (Fifty Shades Darker)",ZAYN,96292,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk
174,"Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")","Guru Randhawa",96097,https://open.spotify.com/track/3s7m0jmCXGcM8tmlvjCvAa
175,"Pani Da Rang Male (From ""Vicky Donor"")","Ayushmann Khurrana",96063,https://open.spotify.com/track/6eTPyEkYUmDUFvNxJdNuOD
176,"Kadalalle (From ""Dear Comrade"")","Sid Sriram",95480,https://open.spotify.com/track/2kW6AMK99mnEO6X01r2E3T
177,"Manmohini (From ""Hume Tumse Pyaar Kitna"")","Mika Singh",95442,https://open.spotify.com/track/1gnRc9gHqelbPkuIFtIa5d
178,"Ghar More Pardesiya","Shreya Ghoshal",95306,https://open.spotify.com/track/1bx6spmieE655BQvWdTYKA
