,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
136,"Don’t Forget Your Roots",SIX60,48828,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
137,"Murder On My Mind","YNW Melly",48264,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
138,"Nothing On You (feat. Paulo Londra & Dave)","Ed Sheeran",47521,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N
139,"Too Good At Goodbyes","Sam Smith",46230,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
140,"Mad Love",Mabel,46085,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
141,"High Hopes","Panic! At The Disco",45916,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
142,"Sweet Home Alabama","Lynyrd Skynyrd",45867,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
143,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",45749,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
144,"Outta My Head (with John Mayer)",Khalid,45745,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
145,SAD!,XXXTENTACION,45622,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
146,"Psycho (feat. Ty Dolla $ign)","Post Malone",45440,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
147,"Walk Me Home",P!nk,45346,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
148,"Here With Me",Marshmello,45298,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
149,Thunder,"Imagine Dragons",45073,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
150,"No Role Modelz","J. Cole",44980,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
151,"Old Town Road - Remix","Lil Nas X",44977,https://open.spotify.com/track/6jmZlyf9DxcIoRrjw02YXm
152,Sanctuary,Joji,44817,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
153,"Don’t Give It Up",SIX60,44296,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx
154,Riptide,"Vance Joy",44255,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
155,"Young Dumb & Broke",Khalid,44131,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
