Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
106,Tanta Falta,Bryant Myers,334468,https://open.spotify.com/track/0sPTfDSZgE3KvcvqaKPtEx,2019,1,2019-01,0.0032560150313980453,00GbPd84bEyYS477RSymJW,0.856,0.797,0.728,89.999,0.002787148866876727,0.0025950439800242423,0.002370378942857777,0.2930380968107927
107,Promises (with Sam Smith),Calvin Harris,332740,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,2019-01,0.0032391931112913217,5N5k9nd479b1xpDZ4usjrg,0.781,0.486,0.768,123.07,0.0025298098199185225,0.0015742478520875823,0.002487700309471735,0.39864749620662293
108,De La Tierra Hasta Marte,Alfred García,332726,https://open.spotify.com/track/5JeYtXkFiWoQ6nEjtURNMm,2019,1,2019-01,0.003239056822586753,5JeYtXkFiWoQ6nEjtURNMm,0.625,0.203,0.459,129.991,0.002024410514116721,0.0006575285349851109,0.0014867270815673197,0.4210482354248747
109,One Kiss (with Dua Lipa),Calvin Harris,325590,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,2019-01,0.0031695885228867626,7ef4DlsgrMEH11cDZd32M6,0.791,0.592,0.862,123.994,0.0025071445216034295,0.0018763964055489633,0.0027321853067283895,0.39300995930682125
110,Un Traguito,Lérica,325537,https://open.spotify.com/track/5OSrMt5y9dExB2J5vMdTVk,2019,1,2019-01,0.0031690725727908965,3x45jQfdx5HtXixx4YsoW6,0.642,0.653,0.851,96.996,0.0020345445917317557,0.0020694043900324555,0.002696880759445053,0.30738736327042576
111,Flames,David Guetta,322859,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh,2019,1,2019-01,0.003143002490588462,6z7mOTf4O20AApGsTNn7fC,0.54,0.194,0.631,84.903,0.0016972213449177695,0.0006097424831741616,0.0019832345715613195,0.2668503404584322
112,Noche De Fantasia,Bryant Myers,320767,https://open.spotify.com/track/3gcAbJ38vIQvT6No64cIcn,2019,1,2019-01,0.0031226370641629607,7z4oHxXTt01FquX2TekRWZ,0.67,0.367,0.653,179.939,0.0020921668329891836,0.0011460078025478065,0.0020390820028984135,0.561884190688419
113,Wow.,Post Malone,319341,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,2019-01,0.003108755086111925,7xQAfvXzm3AkraOtGPWIZg,0.829,0.388,0.539,99.96,0.0025771579663867858,0.0012061969734114269,0.0016756189914143276,0.310751158407748
114,200 Mph,Bad Bunny,308632,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg,2019,1,2019-01,0.003004503962024593,5jGUJXnELDaDTgiRjD9lsg,0.85,0.816,0.5,160.02,0.0025538283677209042,0.002451675233012068,0.0015022519810122966,0.48078072400317545
115,Clandestino,Shakira,306518,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,2019,1,2019-01,0.0029839243676347696,7DrluKkTviBwCc8AV3VGmf,0.766,0.881,0.822,165.842,0.0022856860656082336,0.002628837367886232,0.0024527858301957805,0.4948599849772855
116,Mala Mía,Maluma,305662,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019,1,2019-01,0.002975591286841161,62o8KoI44JfN7aYxgTnPvh,0.749,0.901,0.752,180.049,0.0022287178738440295,0.0026810077494438863,0.002237644647704553,0.5357522356044643
117,In My Mind,Dynoro,304589,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,2019-01,0.002965145731126743,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.163,0.77,125.905,0.0020578111374019597,0.0004833187541736591,0.0022831622129675924,0.3733266732775126
118,Quiere Beber,Anuel AA,302932,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2019,1,2019-01,0.0029490149894503296,0FDMH2ahuIVzCybwHJK9zh,0.773,0.772,0.57,95.038,0.002279588586845105,0.0022766395718556544,0.0016809385439866878,0.2802684865673804
119,DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,302151,https://open.spotify.com/track/2Sfl7odHUmG7qc8SbqUyzE,2019,1,2019-01,0.002941412026716908,2Sfl7odHUmG7qc8SbqUyzE,0.794,0.547,0.534,91.871,0.002335481149213225,0.0016089523786141486,0.0015707140222668288,0.27023046430650904
