Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
140,Havana (feat. Young Thug),Camila Cabello,124838,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,09,2019-09,0.003217014475637438,1rfofaqEpACxVEHIZBJe6W
141,Khud Se Zyada,Tanishk Bagchi,123215,https://open.spotify.com/track/1vBE1z8mudo2Oob531MabR,2019,09,2019-09,0.0031751905558857632,1vBE1z8mudo2Oob531MabR
142,Teeth,5 Seconds of Summer,123067,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6,2019,09,2019-09,0.0031713766679478408,26wLOs3ZuHJa2Ihhx6QIE6
143,Viah,Jass Manak,122818,https://open.spotify.com/track/12V0iduYsoXxsQYTSeFB2H,2019,09,2019-09,0.0031649600591874176,12V0iduYsoXxsQYTSeFB2H
144,"Crazy Habibi Vs Decent Munda (From ""Arjun Patiala"")",Guru Randhawa,122236,https://open.spotify.com/track/7yy3HgKJEcwArL5k0v5rhF,2019,09,2019-09,0.0031499622025666692,7yy3HgKJEcwArL5k0v5rhF
145,Daryaa,Ammy Virk,121460,https://open.spotify.com/track/3ExeNEpJJQXfmq1cwj0LVo,2019,09,2019-09,0.0031299650604056715,6dN6k8fcjeB3Z2zLnxeyhP
146,The Humma Song,A.R. Rahman,121426,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd,2019,09,2019-09,0.003129088896960473,7heMX7gyHP0mhTlNgd7Lxd
147,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,119169,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu,2019,09,2019-09,0.0030709271059071582,2FCXQHugkoHE1K3tiDu8pu
148,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,117931,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,2019,09,2019-09,0.0030390244486967004,0KoiMHhqKLoL4xM54rcWYY
149,Suit Suit,Guru Randhawa,117743,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7,2019,09,2019-09,0.003034179780235015,2mwBSO58y92EYmEFpDfmS7
150,"Raabta (Title Track) [From ""Raabta""]",Pritam,117552,https://open.spotify.com/track/4e9dIemIXO8Tzg0k4aWujk,2019,09,2019-09,0.0030292578032340483,4e9dIemIXO8Tzg0k4aWujk
151,Gangu Leader,Anirudh Ravichander,117069,https://open.spotify.com/track/05dYneZZZ2mytSmnsvzFoW,2019,09,2019-09,0.0030168111284096127,05dYneZZZ2mytSmnsvzFoW
