,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
142,"Party In The U.S.A.","Miley Cyrus",48978,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
143,"A Thousand Bad Times","Post Malone",48076,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
144,Wanted,OneRepublic,47681,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
145,"Brown Eyed Girl","Van Morrison",47357,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
146,"Behind Barz - Bonus",Drake,47316,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
147,Landslide,"Fleetwood Mac",47165,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ
148,"Girls Like You (feat. Cardi B)","Maroon 5",47138,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
149,"thank u, next","Ariana Grande",47123,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
150,Thunder,"Imagine Dragons",47090,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
151,Closer,SIX60,46828,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ
152,September,"Earth, Wind & Fire",46827,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
153,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",46747,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
154,Painkiller,Ruel,46687,https://open.spotify.com/track/1YlulsUKDduOmC7WxvXYPW
155,Bruises,"Lewis Capaldi",46666,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
156,"Jocelyn Flores",XXXTENTACION,46646,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
157,Riptide,"Vance Joy",46628,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
158,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,46627,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
159,Perfect,"Ed Sheeran",46449,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
160,"Summer Of '69","Bryan Adams",46234,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
161,"SLOW DANCING IN THE DARK",Joji,46178,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
162,"No Role Modelz","J. Cole",46170,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
163,goosebumps,"Travis Scott",45851,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
164,"Never Seen the Rain","Tones And I",45487,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
165,"Only To Be",SIX60,45192,https://open.spotify.com/track/1yaFHifoHlN5MEtL5YEgA4
166,Suge,DaBaby,45179,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
167,Easy,DaniLeigh,44975,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3
168,"Lost In Japan","Shawn Mendes",44808,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
169,"Tennessee Whiskey","Chris Stapleton",44742,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
170,"Dancing On My Own","Calum Scott",44724,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
171,"Going Bad (feat. Drake)","Meek Mill",44379,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
172,"Don't Stop Me Now - Remastered 2011",Queen,44379,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
173,Special,SIX60,44369,https://open.spotify.com/track/0IM7W9Uj3tDepqO2Ey042W
174,"Young Dumb & Broke",Khalid,44219,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
175,"Listen to the Music","The Doobie Brothers",44185,https://open.spotify.com/track/7Ar4G7Ci11gpt6sfH9Cgz5
176,"Drift Away","Sons Of Zion",43968,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx
177,Believer,"Imagine Dragons",43868,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
178,"Vossi Bop",Stormzy,43632,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
179,"bury a friend","Billie Eilish",43621,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
180,"Hot (feat. Gunna)","Young Thug",43609,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
181,SAD!,XXXTENTACION,43329,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
182,"Pumped Up Kicks","Foster The People",43284,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
183,"Babushka Boi","A$AP Rocky",43215,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
184,"High Hopes","Panic! At The Disco",43039,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
185,"I Don't Belong In This Club","Why Don't We",42968,https://open.spotify.com/track/4Yo1ZTT9D7gUqyzgpVKkhQ
186,"Hey, Soul Sister",Train,42689,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv
187,"Under Pressure - Remastered 2011",Queen,42665,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
188,"Under the Bridge","Red Hot Chili Peppers",42600,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0
189,"I'm Yours","Jason Mraz",42580,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
190,"Pure Water (with Migos)",Mustard,42368,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
191,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",42287,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
192,"Free Fallin'","Tom Petty",42076,https://open.spotify.com/track/5tVA6TkbaAH9QMITTQRrNv
193,"Sweet Child O' Mine","Guns N' Roses",42061,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
194,"Murder On My Mind","YNW Melly",42053,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
195,Rivers,SIX60,41963,https://open.spotify.com/track/25qfmrJIuw6TAvXoZ0phzb
196,"i love you","Billie Eilish",41913,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
197,"Red Red Wine",UB40,41907,https://open.spotify.com/track/1vYew137WJ69SFp9oez3xm
198,"Best Part (feat. Daniel Caesar)",H.E.R.,41852,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
199,"Wiley Flow",Stormzy,41744,https://open.spotify.com/track/1Iv4wC88uxeAF7SmQQGx3X
200,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",41734,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
