,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
121,Shallow,"Lady Gaga",331767,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
122,"Te esperaré toda la vida","Dani Fernández",330492,https://open.spotify.com/track/6MCPhEshiLRXgdFKqvr478
123,Circles,"Post Malone",328859,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
124,"Nada Sale Mal",Aitana,326868,https://open.spotify.com/track/51ltTOzVJWp3BUHzYrRxEa
125,Ocean,"KAROL G",325812,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7
126,"Lo siento",Beret,321856,https://open.spotify.com/track/4S6gJt4RYR34t4sjW8wEah
127,"Vas A Quedarte",Aitana,320153,https://open.spotify.com/track/0fwIHsKXNEcb57u2um7z9I
128,"Soldadito marinero","Fito y Fitipaldis",318114,https://open.spotify.com/track/0eVborSuxUeSg0meWYd9dZ
129,"Ella Quiere Beber - Remix","Anuel AA",317084,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
130,Fuego,Estopa,316834,https://open.spotify.com/track/6ye25NazQfUWrCTdCH3cXX
131,Liar,"Camila Cabello",316269,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
132,"Quiero Que Vengas",Amaia,308218,https://open.spotify.com/track/2eucUeV1hvStstsZMXxJVV
133,Guantanamera,Guitarricadelafuente,307896,https://open.spotify.com/track/0OGwGIp2WLU3jOC2xRq3id
134,"No Se Me Quita (feat. Ricky Martin)",Maluma,306958,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
135,"How Do You Sleep?","Sam Smith",306687,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
136,Princesas,Pereza,304751,https://open.spotify.com/track/3hlWUNjAlbZ6nOjAbrivBv
137,Delincuente,Farruko,304704,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
138,Amanece,"Anuel AA",303271,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
139,"Quedará En Nuestra Mente",Amaia,297876,https://open.spotify.com/track/5ts78ZXMYkosHroNMpUXJr
140,"Baila Baila Baila - Remix",Ozuna,297476,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
141,Instagram,"Dimitri Vegas & Like Mike",294752,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
142,Sucker,"Jonas Brothers",289345,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
143,Nada,Cazzu,288871,https://open.spotify.com/track/7DOh0tBGnyMt6C5OO7o8Yq
144,"Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)",Dvicio,285609,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
145,"Don't Call Me Up",Mabel,284380,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
146,Secreto,"Anuel AA",282914,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
147,"Una Vida Para Recordar","Piso 21",281557,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
148,Sobrenatural,"Juan Magán",280410,https://open.spotify.com/track/1cYXPXbIR0FxurYVMGnwIN
149,"Por Eso Vine","Paulo Londra",278732,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu
150,Maldición,"Lola Indigo",278057,https://open.spotify.com/track/6qz7XM4Ysl3z0rEcInLivx
151,"Déjala Que Baile (with Alejandro Sanz & Arkano)",Melendi,277376,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd
152,"Como Ronea (15 Aniversario)","Las Chuches",277276,https://open.spotify.com/track/2xIKTgmlZ8vZCwaWoSqwK2
153,Vuela,Bombai,276994,https://open.spotify.com/track/2WiqfmzslYA7fMbQPloHLY
154,"Dispuestos a morir","Natos y Waor",274568,https://open.spotify.com/track/1d1N1JZfKYI0Pj5TXzs4vy
155,"Mi Religión","Nil Moliner",273354,https://open.spotify.com/track/2uynv2Yi23wUILfpkRFGPd
156,"Antes de Morirme (feat. Rosalía)","C. Tangana",272813,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE
157,"Cuando Nadie Ve",Morat,272530,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
158,"Pa ti pa mí na má","Demarco Flamenco",271715,https://open.spotify.com/track/2013yX7IujgpGJHzz6Qqsi
159,"Como Si Fueras a Morir Mañana",Leiva,270769,https://open.spotify.com/track/4aAfLSx9IthpC3Pw5pNk3E
160,Cristina,"Sebastian Yatra",269516,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
161,"Como Camarón",Estopa,261693,https://open.spotify.com/track/1VB4sadHjFcFklHcZuoROi
162,Cicatrices,"Natos y Waor",261525,https://open.spotify.com/track/19OsDvOm2hw28Bqg7wo4Ox
163,"Muito Calor",Ozuna,259423,https://open.spotify.com/track/5uVgsAzjO6eJR06VPrqUga
164,"Baila Baila Baila",Ozuna,259329,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
165,"Sin Pijama","Becky G",259280,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
166,"Tú No Amas","Mambo Kingz",257195,https://open.spotify.com/track/5J64qSSq0VZuh0CiI9o9Nq
167,"Fin De Semana",Lunay,256494,https://open.spotify.com/track/2DFn7QiaiaNNWXuWLABatP
168,Aullando,"Wisin & Yandel",256474,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
169,"Un Planeta Llamado Nosotros","Maldita Nerea",256296,https://open.spotify.com/track/4r65XDXpFbFgds3lDIf0EP
170,"Goodbyes (Feat. Young Thug)","Post Malone",255454,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
171,"Quiero, Quiero y Quiero","Arnau Griso",255453,https://open.spotify.com/track/1LyZX8u8DqVFULMViZUwcn
172,Cambio,Ozuna,252986,https://open.spotify.com/track/3cg9A9GVyZAT2CPevqWr65
173,"Cuando zarpa el amor (feat. Juan Magán)",Camela,249989,https://open.spotify.com/track/4TD052UwarqucOo1fsTq6P
174,"Piece Of Your Heart",MEDUZA,249687,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
175,"La Respuesta","Becky G",247635,https://open.spotify.com/track/2fOjendzUzepHwR9QrVyYF
176,"El Relámpago",Amaia,247044,https://open.spotify.com/track/1COQTOb7d2zh3y8SOjsutx
177,"Serpiente Veneno (feat. Ele A El Dominio)","Kidd Keo",245853,https://open.spotify.com/track/63c2jMnVyf8dtnbaQK910d
178,"Lo siento (feat. Sofía Reyes)",Beret,244550,https://open.spotify.com/track/5dITA6jTX7f1gHwEAyS3YZ
179,"Love Me","Lil Tecca",244508,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
