Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
26,Happier,Marshmello,953733,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2019-01,0.008899155870044759,2dpaYNEQHiRxtZbfNsse99,0.687,0.671,0.792,100.015,0.00611372008272075,0.005971333588800034,0.00704813144907545,0.8900490743425266
27,MALA,6ix9ine,922495,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019,1,2019-01,0.00860767824363521,70uX4beGHc1nQikXveOknp,0.823,0.582,0.772,96.001,0.007084119194511777,0.005009668737795692,0.006645127604086382,0.8263457190672238
28,Posso (feat. Max Gazzé),Carl Brave,921582,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6,2019,1,2019-01,0.008599159161974672,5N0nmOmc0MqPZTYKw4fVV6,0.736,0.854,0.878,163.948,0.006328981143213359,0.007343681924326369,0.007550061744213762,1.4098149462874237
29,CABRIOLET (feat. Sfera Ebbasta),Salmo,839248,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN,2019,1,2019-01,0.007830911550322077,7wC76LWyNxaP3hjGzbWOcN,0.548,0.309,0.531,150.058,0.004291339529576499,0.002419751669049522,0.0041582140332210235,1.1750909254182302
30,STAI ZITTO (feat. Fabri Fibra),Salmo,838621,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd,2019,1,2019-01,0.007825061096651586,2rgOAX5Cj3pk8JFnaPwJbd,0.705,0.909,0.796,100.196,0.005516668073139368,0.007112980536856292,0.006228748632934662,0.7840398216401022
31,Animal,Nayt,832837,https://open.spotify.com/track/7lrePdRkp4pplxEzeM3csB,2019,1,2019-01,0.007771091361356341,1fBl642IhJOE5U319Gy2Go,0.482,0.74,0.833,148.039,0.003745666036173756,0.005750607607403692,0.006473319104009831,1.1504245940438311
32,NI BIEN NI MAL,Bad Bunny,781163,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,1,2019-01,0.0072889281349306076,278kSqsZIiYp8p3QjYAqa8,0.826,0.337,0.449,128.028,0.006020654639452681,0.002456368781471615,0.003272728732583843,0.9331868912588958
33,Supernova (feat. Emis Killa),MadMan,776843,https://open.spotify.com/track/3gr1Ghb0F4QKWQsiseWORj,2019,1,2019-01,0.00724861878906694,65qZmnEjaadebCi68eNLiZ,0.697,0.532,0.783,80.053,0.005052287295979657,0.0038562651957836126,0.005675668511839415,0.5802736799211757
34,High Hopes,Panic! At The Disco,770924,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,2019-01,0.007193389386713456,1rqqCSm0Qe4I9rUvWncaom,0.579,0.681,0.904,82.014,0.004164972454907091,0.004898698172351864,0.006502824005588964,0.5899586371619173
35,Prima di ogni cosa,Fedez,751005,https://open.spotify.com/track/5mkGjUA82k3yWNhD1kFAuU,2019,1,2019-01,0.0070075278449869775,5mkGjUA82k3yWNhD1kFAuU,0.597,0.449,0.469,131.257,0.004183494123457226,0.0031463800023991528,0.003286530559298892,0.9197870823494557
36,Bella e rovinata,Irama,737902,https://open.spotify.com/track/5uPQRVuGquShCnqzuOTq4B,2019,1,2019-01,0.006885265493400949,5uPQRVuGquShCnqzuOTq4B,0.549,0.444,0.646,156.012,0.0037800107558771216,0.0030570578790700214,0.004447881508737013,1.0741840401564688
37,Pianeti,Ultimo,726715,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW,2019,1,2019-01,0.006780881083174827,2w5wtWq30yTkNSG9YjMFvW,0.55,0.108,0.488,80.112,0.003729484595746155,0.0007323351569828813,0.0033090699685893155,0.5432299453353017
