Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
123,Tu Postura,Banda MS de Sergio Lizárraga,560202,https://open.spotify.com/track/4RNzKQEzmlvVHca4t6Txkj,2019,7,4RNzKQEzmlvVHca4t6Txkj,0.779,0.373,0.499
124,Amargo Adiós,Inspector,558102,https://open.spotify.com/track/0zCOT028cU3DeCqN1G18wE,2019,7,0zCOT028cU3DeCqN1G18wE,0.607,0.666,0.79
125,Every Breath You Take,The Police,557051,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,2019,7,1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,0.74
126,You Need To Calm Down,Taylor Swift,556350,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019,7,6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,0.714
127,Culpable O No - Miénteme Como Siempre,Luis Miguel,556231,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14,2019,7,7BwxbmYFy0l3ROHDjV2c14,0.54,0.367,0.252
128,Eres,Café Tacvba,555814,https://open.spotify.com/track/6kdCN6gTWLcLxmLXoUcwuI,2019,7,6I86RF3odBlcuZA9Vfjzeq,0.843,0.729,0.903
129,UN PESO,J Balvin,553822,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,2019,7,7hynhxDoDpgMIV12JuVtNa,0.627,0.675,0.961
130,No Es Justo,J Balvin,553090,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019,7,4ENLcCIsIe3WQBklJSBQxK,0.811,0.812,0.689
131,Te Boté - Remix,Nio Garcia,552462,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019,7,3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,0.442
132,La flaca,Jarabe De Palo,552432,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb,2019,7,0ll9JAIrM3NVBOMl45sxSX,0.871,0.481,0.664
133,"¿CÓMO TE VA, QUERIDA?",Rels B,542274,https://open.spotify.com/track/1uiX0bdc2sPHcL1k02bC2G,2019,7,2p89F5HPntIfuJ1SnuPoeK,0.929,0.547,0.933
134,El Sol No Regresa,La Quinta Estacion,540724,https://open.spotify.com/track/2awKQgW88iq9jFM54VaCAp,2019,7,0c8f8b76ThPP2MInXEZyTY,0.579,0.898,0.635
135,Mentiroso,Kenia OS,530257,https://open.spotify.com/track/5iXCrcLT5iirF2UTmaa284,2019,7,5iXCrcLT5iirF2UTmaa284,0.855,0.516,0.7
136,Una Vida Para Recordar,Piso 21,527289,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,2019,7,7pxL0DzPpCjjcdfQccvnus,0.703,0.776,0.483
137,Shallow,Lady Gaga,526992,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,7,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
138,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,526038,https://open.spotify.com/track/77dMSg2VHi2wwXjXNrmcrZ,2019,7,77dMSg2VHi2wwXjXNrmcrZ,0.566,0.531,0.367
139,En Donde Esta Tu Amor,Virlan Garcia,523862,https://open.spotify.com/track/3HGJyp3fbmd5ylCe3dvLiS,2019,7,6jweSpMwhhNpfILeZ3kLso,0.501,0.4,0.556
140,Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged,Los Auténticos Decadentes,519395,https://open.spotify.com/track/0639sfoRA7sW4fGS1EzcQu,2019,7,0639sfoRA7sW4fGS1EzcQu,0.587,0.639,0.789
141,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,518345,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N,2019,7,2qRN7PWiHRLprw4FpDeI9N,0.747,0.649,0.84
142,Locos,León Larregui,518330,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q,2019,7,3GSMdtJphymHEsR8K9jT5Q,0.724,0.646,0.957
143,Baila Baila Baila,Ozuna,517952,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,7,7mWFF4gPADjTQjC97CgFVt,0.785,0.572,0.49
144,Cristina,Sebastian Yatra,512594,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,2019,7,1Kjer1JoWuJGNwGV6Pbgv1,0.649,0.502,0.695
145,Puntos Suspensivos,Piso 21,511614,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019,7,04cd1MHVq1D8v1nuTZoCdv,0.823,0.731,0.952
146,Otra vez (feat. J Balvin),Zion & Lennox,507790,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2019,7,3QwBODjSEzelZyVjxPOHdq,0.832,0.772,0.704
147,La Respuesta,Becky G,503899,https://open.spotify.com/track/2fOjendzUzepHwR9QrVyYF,2019,7,2fOjendzUzepHwR9QrVyYF,0.757,0.832,0.53
148,Vasos Vacíos - Remasterizado 2008,Los Fabulosos Cadillacs,503411,https://open.spotify.com/track/198qSChSMQFuSimdeeY9gK,2019,7,198qSChSMQFuSimdeeY9gK,0.708,0.672,0.963
149,La Chica De Humo - MTV Unplugged,Emmanuel,498657,https://open.spotify.com/track/4ozSZEX79T7QuDaifobXLO,2019,7,51bsCoWIasd70N296fUQgK,0.769,0.728,0.272
150,Caraluna,Bacilos,493719,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,2019,7,7DhYjNLksXZhbRQeheAums,0.76,0.773,0.895
151,Te quiero,Hombres G,491441,https://open.spotify.com/track/6tu2FHuKL9C8pwNrityweQ,2019,7,1Z4IqxukC6Yuer0nK7rC2R,0.536,0.598,0.465
152,"Todos Hablan, Nada Saben",Aldo Trujillo,490760,https://open.spotify.com/track/4zpw2XwVLml02gTUVtlGY4,2019,7,0SIooo95Kba3UwPBRUOcmd,0.746,0.532,0.976
153,One Kiss (with Dua Lipa),Calvin Harris,488808,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,7,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,0.592
154,Con Todos Menos Conmigo,Timbiriche,484058,https://open.spotify.com/track/4d7N2lqEJMbQwVy1LCqhXv,2019,7,4d7N2lqEJMbQwVy1LCqhXv,0.731,0.392,0.789
155,La player (Bandolera),Zion & Lennox,482878,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,2019,7,0VKkyBKCXyR99navhVRqcP,0.769,0.838,0.602
156,Leve,Cartel De Santa,481074,https://open.spotify.com/track/48yFrzTcnTCklWL9PRVZJj,2019,7,6xZ4Q2k2ompmDppyeESIY8,0.754,0.583,0.77
157,Me Niego (feat. Ozuna & Wisin),Reik,480280,https://open.spotify.com/track/4ggiDYAkJ7Yk8d5xOr7Xjo,2019,7,4ggiDYAkJ7Yk8d5xOr7Xjo,0.777,0.782,0.773
158,Adictiva,Daddy Yankee,476522,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,7,0z24gh2KYWSfahslybQC4O,0.787,0.771,0.701
159,Amor del Bueno,Reyli Barba,476475,https://open.spotify.com/track/2G74yhtIMW8tJY5I83dS4Z,2019,7,2G74yhtIMW8tJY5I83dS4Z,0.77,0.373,0.293
160,A Mí,Rels B,475734,https://open.spotify.com/track/6kbzFdX9KkJpAADAqArxgW,2019,7,6ScJMrlpiLfZUGtWp4QIVt,0.674,0.695,0.773
161,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,474784,https://open.spotify.com/track/3YwEMdP2zkOiIq074Vlvqc,2019,7,3YwEMdP2zkOiIq074Vlvqc,0.69,0.434,0.617
162,En Cero,Yandel,474507,https://open.spotify.com/track/51uLQESb4VnYAbs5WtGxho,2019,7,51uLQESb4VnYAbs5WtGxho,0.733,0.782,0.634
163,PPP,Kevin Roldan,473600,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019,7,14eTSBjCDBNyXv8taIyzKd,0.798,0.625,0.774
164,Entre Beso Y Beso,La Arrolladora Banda El Limón De Rene Camacho,468708,https://open.spotify.com/track/7uL1ZsdxI8l4sgEsgCmTlG,2019,7,6HhdHmkCl0qHNv3J9KQzKH,0.866,0.63,0.964
165,Rucón,Aleman,467709,https://open.spotify.com/track/6TDtGJSk3MDTnM6nTDu5Zu,2019,7,78M7CiqTpJYoPQKkwjM48Z,0.864,0.59,0.579
166,Punto G,KAROL G,466971,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b,2019,7,66AmCCC2MuswYD3sOLuuQe,0.791,0.746,0.903
167,Tú No Amas,Mambo Kingz,465981,https://open.spotify.com/track/5J64qSSq0VZuh0CiI9o9Nq,2019,7,5J64qSSq0VZuh0CiI9o9Nq,0.803,0.589,0.562
168,La Planta,Caos,465516,https://open.spotify.com/track/2GggG2lQVYuus2aeAybe8M,2019,7,2GggG2lQVYuus2aeAybe8M,0.695,0.796,0.652
169,Por Mi No Te Detengas,Banda MS de Sergio Lizárraga,464567,https://open.spotify.com/track/3mV5TTtHnXUeOzRkyFKsVl,2019,7,3mV5TTtHnXUeOzRkyFKsVl,0.649,0.307,0.713
170,Sigo Chambeando,Fuerza Regida,463371,https://open.spotify.com/track/4PR0r2us3a64lTew6TVlF2,2019,7,4PR0r2us3a64lTew6TVlF2,0.819,0.48,0.759
171,Rosas,La Oreja de Van Gogh,456490,https://open.spotify.com/track/4waqcUQWdj0yH26STWl2Rq,2019,7,06p2Ij0lXD45LODQDCov0u,0.783,0.693,0.528
172,Solita,Sech,455335,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw,2019,7,7rwX0O3RlxqqIjQM8evm5E,0.807,0.633,0.325
173,Te Amo,Piso 21,451247,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH,2019,7,2Y1qcW4b9aVRnX1fHaVvxY,0.493,0.636,0.837
174,I'm Not The Only One,Sam Smith,448495,https://open.spotify.com/track/7795WJLVKJoAyVoOtCWqXN,2019,7,7795WJLVKJoAyVoOtCWqXN,0.677,0.485,0.493
175,Criminal,Natti Natasha,448302,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2019,7,6Za3190Sbw39BBC77WSS1C,0.814,0.813,0.839
176,Love On The Brain,Rihanna,447717,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2019,7,5oO3drDxtziYU2H1X23ZIp,0.509,0.637,0.378
177,Me Vas a Extrañar,Banda MS de Sergio Lizárraga,444969,https://open.spotify.com/track/2yS8aYWXEWJ1NlZ7VPDroT,2019,7,2yS8aYWXEWJ1NlZ7VPDroT,0.756,0.526,0.94
178,Bella,Wolfine,444965,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D,2019,7,2gMo97mAY1eW2iJ8fF6sDw,0.0707,0.0549,0.043
179,Besos En Guerra,Morat,443553,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,2019,7,5RPYHXSqcWaaiCbUbyfNAO,0.691,0.973,0.783
