Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
162,Rave Jogando o L,Mc Gw,579737,https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ,2020,3,0AVDN1LiDn0abh39xqDRtQ,0.885,0.666,0.901
163,Casos Pendentes - Acústico,Diego & Arnaldo,578090,https://open.spotify.com/track/24YUl9cgjcEvgJTr2WIT1q,2020,3,24YUl9cgjcEvgJTr2WIT1q,0.816,0.829,0.837
164,Clima Quente,Pabllo Vittar,575734,https://open.spotify.com/track/2zz2r7yNbB2lS4xMmZnZiL,2020,3,2zz2r7yNbB2lS4xMmZnZiL,0.69,0.866,0.845
165,Muito Cedo,Turma do Pagode,575407,https://open.spotify.com/track/7N0Py2msno86enR6JPNlpV,2020,3,60glrFrvqFW5RmNNecsnaa,0.561,0.744,0.634
166,Dona de mim,IZA,572315,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN,2020,3,0H8CBal2Dcu5Yc001VotZN,0.412,0.809,0.254
167,Apaixonadinha - Ao Vivo,Marília Mendonça,571679,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM,2020,3,0rUL7vUZmCKxB0gS83W3aM,0.663,0.771,0.778
168,Ciumeira - Ao Vivo,Marília Mendonça,570354,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN,2020,3,7D5F5BzIon5zhzQrOU2pdN,0.741,0.813,0.765
169,Maldita de Ex,Mc Leozin,568880,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM,2020,3,6Diq6oBnDVzsrNcRllXRbM,0.811,0.583,0.673
170,Virgem,MC Lya,565777,https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu,2020,3,2tXtXA0WTko7gXu16a4RtV,0.894,0.403,0.609
171,Bebe e Vem Me Procurar,Raí Saia Rodada,559442,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2020,3,6YsvRdoDd5SJKY4zqlRdAD,0.624,0.927,0.791
172,Não Gosto Eu Amo - Ao Vivo,Henrique & Juliano,553876,https://open.spotify.com/track/6mnySl4xEnPy0ZBBWSAHc9,2020,3,0amtbgaTfeM2HcKOkw4i5f,0.738,0.764,0.81
173,lovely (with Khalid),Billie Eilish,542275,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020,3,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12
174,Dois Corações,Melim,538643,https://open.spotify.com/track/4xwPOyN9VgaTPehdsLiYul,2020,3,4xwPOyN9VgaTPehdsLiYul,0.511,0.142,0.222
175,Balão,Orochi,534819,https://open.spotify.com/track/2vHshN6rsDYqoiZlMhfRpo,2020,3,4QFzCjkQl2c7wrzVrOu2sz,0.533,0.573,0.194
176,Se Eu Fosse Você - Ao Vivo,Henrique & Juliano,533240,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC,2020,3,3HXLUh9lzSrSLvrvLk2LjC,0.554,0.817,0.488
177,Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Yasmin Santos,531280,https://open.spotify.com/track/4pnlRYoaaGu24SuC3et5Pv,2020,3,4pnlRYoaaGu24SuC3et5Pv,0.716,0.828,0.806
178,Romance Proibido - Ao Vivo,MC Kevin o Chris,529573,https://open.spotify.com/track/69Si1G3kLuCQLqQF1EbL25,2020,3,2UxeBJPanPvF3Q2xH6zkbC,0.652,0.798,0.557
179,Viva Voz - Ao Vivo,Lauana Prado,529430,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020,3,7t1Zd6hCxCEUHJOzRX99p8,0.743,0.849,0.883
