Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
101,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",Arijit Singh,204273,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx,2020,1,6aPMWbbdhDhiJHlknZb9Yx,0.265,0.58,0.345
102,Illegal Weapon,Garry Sandhu,204071,https://open.spotify.com/track/3Oe3VdPn6rAueriQvFhCBA,2020,1,5fXslGZPI5Cco6PKHzlSL3,0.805,0.919,0.494
103,Same Beef,Bohemia,202721,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC,2020,1,65c6VCikt7f5sAS1heoYQC,0.779,0.854,0.379
104,"Kinna Sona (From ""Marjaavaan"")",Meet Bros.,202669,https://open.spotify.com/track/01AE1MgL6L86WQzh4KGDUa,2020,1,01AE1MgL6L86WQzh4KGDUa,0.533,0.723,0.591
105,Goodbyes (Feat. Young Thug),Post Malone,202422,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2020,1,0t3ZvGKlmYmVsDzBJAXK8C,0.548,0.653,0.163
106,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,202130,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U,2020,1,352wEkChkiClswqwDoM0nj,0.722,0.867,0.893
107,"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,201157,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp,2020,1,4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,0.674
108,Faded,Alan Walker,199426,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,2020,1,7gHs73wELdeycvS48JfIos,0.589,0.651,0.166
109,"Chale Aana (From ""De De Pyaar De"")",Amaal Mallik,195968,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk,2020,1,6vuMdb0E8buJeSHArN3dXk,0.368,0.587,0.391
110,Yaari,Nikk,194666,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq,2020,1,04UzZSWfw8hkK832P27QLq,0.587,0.557,0.395
111,"Aankh Marey (From ""Simmba"")",Neha Kakkar,194330,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU,2020,1,63MvWd6T6yoS7h4AJ4Hjrm,0.796,0.978,0.8
112,She Move It Like,Badshah,193939,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,2020,1,39vrbjCMTRXEdiIr2IsBgd,0.832,0.477,0.844
113,Pehla Pyaar,Armaan Malik,192885,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7,2020,1,0ojpEubhy4JNeVftmVuiN7,0.607,0.713,0.611
114,Pal,Javed-Mohsin,192194,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC,2020,1,4UiaP0wBuy9N9voD91OZOg,0.575,0.374,0.563
115,Adore You,Harry Styles,191529,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020,1,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,0.569
116,Maana Dil,B Praak,190752,https://open.spotify.com/track/7eua2ud1Wwhn3mefm6Y7Cn,2020,1,7eua2ud1Wwhn3mefm6Y7Cn,0.275,0.411,0.259
117,Look At Her Now,Selena Gomez,189474,https://open.spotify.com/track/7eOkHIcaoUhngxxypM5Ajr,2020,1,6ABeuUrilSljBZFfBC9fQL,0.753,0.564,0.55
118,"Morni Banke (From ""Badhaai Ho"")",Guru Randhawa,189230,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3,2020,1,2Wu9PNpLUCBl3W1GaPqkhl,0.816,0.922,0.887
119,Closer,The Chainsmokers,188849,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2020,1,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.661
120,Call You Mine,The Chainsmokers,187773,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp,2020,1,2oejEp50ZzPuQTQ6v54Evp,0.585,0.696,0.522
121,"Photo (From ""Luka Chuppi"")",Karan Sehmbi,187406,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM,2020,1,5wdlz4N7s1Xyr4y4RXhZJM,0.739,0.644,0.315
122,"Bad Boy (From ""Saaho"")",Badshah,187342,https://open.spotify.com/track/5I3Xih0C2ID3fqngBrBbGv,2020,1,5I3Xih0C2ID3fqngBrBbGv,0.892,0.848,0.523
123,Lucid Dreams,Juice WRLD,186495,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2020,1,285pBltuF7vW8TeWk8hdRR,0.511,0.566,0.218
124,Sage,Ritviz,186179,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl,2020,1,1UMKquW1olreYO1LlLmTqi,0.843,0.538,0.428
125,Paagal,Badshah,185821,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR,2020,1,4gyPGtExOjj1rsByKW33LR,0.687,0.854,0.721
126,lovely (with Khalid),Billie Eilish,185463,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020,1,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12
128,Dil Diyan Gallan,Vishal-Shekhar,183741,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta,2020,1,5MnAi6ZF7cE8pAz7wYr9Ta,0.716,0.64,0.485
129,Happier,Marshmello,183205,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
130,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",Romy,183161,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb,2020,1,0OcVZqIer0LLu3K8sdU5Yb,0.808,0.901,0.709
